"","alder","måned","1101 Eigersund Registrert helt arbeidsledige","1102 Sandnes (-2019) Registrert helt arbeidsledige","1103 Stavanger Registrert helt arbeidsledige","1106 Haugesund Registrert helt arbeidsledige","1108 Sandnes Registrert helt arbeidsledige","1111 Sokndal Registrert helt arbeidsledige","1112 Lund Registrert helt arbeidsledige","1114 Bjerkreim Registrert helt arbeidsledige","1119 Hå Registrert helt arbeidsledige","1120 Klepp Registrert helt arbeidsledige","1121 Time Registrert helt arbeidsledige","1122 Gjesdal Registrert helt arbeidsledige","1124 Sola Registrert helt arbeidsledige","1127 Randaberg Registrert helt arbeidsledige","1129 Forsand (-2019) Registrert helt arbeidsledige","1130 Strand Registrert helt arbeidsledige","1133 Hjelmeland Registrert helt arbeidsledige","1134 Suldal Registrert helt arbeidsledige","1135 Sauda Registrert helt arbeidsledige","1141 Finnøy (-2019) Registrert helt arbeidsledige","1142 Rennesøy (-2019) Registrert helt arbeidsledige","1144 Kvitsøy Registrert helt arbeidsledige","1145 Bokn Registrert helt arbeidsledige","1146 Tysvær Registrert helt arbeidsledige","1149 Karmøy Registrert helt arbeidsledige","1151 Utsira Registrert helt arbeidsledige","1154 Vindafjord (1965-2005) Registrert helt arbeidsledige","1159 Ølen (2002-2005) Registrert helt arbeidsledige","1160 Vindafjord Registrert helt arbeidsledige","1199 Uoppgitt kommune Rogaland Registrert helt arbeidsledige"
"1","15-74 år","1999M01",1.5,2.2,2.6,2.5,NA,2.7,1,0.8,1,1.3,1.3,1.3,1.7,1.1,1.7,1.6,1,1.9,4.4,0.8,1.2,1.5,0.2,1.5,2.7,0,1.4,NA,NA,NA
"2","15-74 år","1999M02",1.5,2.2,2.5,2.6,NA,2.2,1.2,1.4,0.9,1.3,1.3,1.2,1.6,1,1.3,1.8,1,1.4,3.7,0.8,0.9,0.4,0.9,1.5,2.5,4.4,1,NA,NA,NA
"3","15-74 år","1999M03",1.3,2.2,2.6,2.4,NA,2.6,0.8,0.8,1,1,1.3,1.2,1.7,1.1,1.5,1.6,1.2,1.3,4,0.8,1.1,1.5,0.2,1.3,2.5,0,0.9,NA,NA,NA
"4","15-74 år","1999M04",1.8,2.1,2.5,2.5,NA,2.1,0.8,1.1,0.9,1.2,1.2,1,1.7,1.1,1.5,1.8,1,1.1,3.5,0.6,1.2,1.5,0.9,1.3,2.4,0,0.9,NA,NA,NA
"5","15-74 år","1999M05",1.3,2,2.3,2.2,NA,1.6,0.8,0.7,0.8,1.1,1,1.4,1.5,1,0.8,1.4,0.6,0.9,2.7,0.3,0.8,0.8,0.7,1,2,3.5,0.8,NA,NA,NA
"6","15-74 år","1999M06",1.4,2.3,2.6,2.6,NA,2,0.9,0.8,0.9,1.2,1.3,1.4,1.8,1.1,1,1.5,0.6,1.1,4.1,0.4,0.7,1.1,0.7,1.3,2.4,0,1.3,NA,NA,NA
"7","15-74 år","1999M07",2,2.7,3,3.2,NA,2.3,1.6,0.8,1,1.5,1.6,1.4,2.1,1.3,0.8,2.5,1.2,1.1,3.3,0.3,1.2,1.1,0.9,1.9,3,5.3,1.1,NA,NA,NA
"8","15-74 år","1999M08",2.4,2.7,3.2,3.9,NA,2.4,1.3,0.9,1.2,1.3,1.6,1.5,2.1,1.5,1,2.2,1.1,0.8,3.3,0.4,1.3,2.6,1.4,1.9,3.2,0,1.4,NA,NA,NA
"9","15-74 år","1999M09",1.9,2.4,2.9,4,NA,1.9,0.9,1,1.1,1.2,1.3,1.7,2.1,1.6,1.1,2.1,1,1.3,3.2,0.6,0.9,2.3,0.9,1.8,3.4,1.8,1.2,NA,NA,NA
"10","15-74 år","1999M10",1.6,2.4,3,4.1,NA,2,0.8,0.4,1.2,1.3,1.3,1.5,2,1.5,1.3,2.4,0.9,1.5,4,0.8,0.8,1.9,2.4,1.8,3.4,0,1.4,NA,NA,NA
"11","15-74 år","1999M11",1.5,2.5,2.9,3.9,NA,2,1.1,0.6,1.2,1.3,1.3,1.3,2,1.6,1.1,2.1,0.7,1.6,4.2,0.8,1.1,1.5,1.7,1.8,3.4,0,1.6,NA,NA,NA
"12","15-74 år","1999M12",1.6,2.4,3,4.1,NA,2,0.9,0.9,1.3,1.4,1.3,1.6,2.2,1.4,1.5,3.7,0.8,1.6,3.9,1.2,1.1,2.6,0.9,2.3,3.6,1.8,2.1,NA,NA,NA
"13","15-74 år","2000M01",2.1,2.9,3.4,5.2,NA,2.8,1.6,1.4,1.5,1.7,1.8,2,2.5,1.9,1.5,3.1,1.9,1.7,4.7,1.7,1.7,2,4.4,2.7,4.3,2.4,2.2,NA,NA,NA
"14","15-74 år","2000M02",1.9,2.7,3.2,4.9,NA,3.7,1.8,1.3,1.4,1.7,1.6,2,2.4,1.6,1.1,2.8,1.3,1.5,3.7,1.4,1.1,2,2.7,2.7,4.1,0.8,2.5,NA,NA,NA
"15","15-74 år","2000M03",2,2.6,3.3,4.8,NA,3.3,1.6,1,1.3,1.6,1.6,1.9,2.3,1.8,2,2.6,1.4,1.9,3.7,1,1.3,2.4,2.4,2.8,4,0,1.8,NA,NA,NA
"16","15-74 år","2000M04",2.7,2.7,3.5,4.1,NA,2.7,1.6,1,1.4,1.4,1.5,2.1,2.1,1.7,1.9,2.4,1.5,1.4,3.2,1.2,1.9,2.4,2,2.8,3.5,2.4,1.8,NA,NA,NA
"17","15-74 år","2000M05",2.6,2.8,3.6,4.6,NA,2.4,1.6,1.1,1.3,1.5,1.6,1.8,2.1,1.6,1.5,2.6,1.5,1.8,4.5,1.4,1.4,2,2.7,2.8,3.6,1.6,1.8,NA,NA,NA
"18","15-74 år","2000M06",3.3,2.8,3.9,4.5,NA,3.7,2,1.7,1.7,1.8,1.6,1.9,2.4,2,1.3,2.9,1,1.5,2.8,1.1,1.7,2,2.4,2.9,3.5,1.6,1.5,NA,NA,NA
"19","15-74 år","2000M07",4.9,3.1,4.1,5.1,NA,4.4,2.3,1.4,1.8,1.7,2.3,2.1,2.7,2.2,1.7,3,1.7,1.6,2.9,1.7,1.3,1.2,2,3.2,4.1,5.6,1.4,NA,NA,NA
"20","15-74 år","2000M08",3.7,3.2,4.2,5,NA,4.4,1.9,1.7,1.8,2,2.2,2.2,2.5,2.1,2.4,3,1,1.6,3.5,2.1,1.4,1.6,2.4,3.2,3.8,0.8,1.8,NA,NA,NA
"21","15-74 år","2000M09",3.1,3.1,4,4.7,NA,4.4,1.5,1.5,1.9,1.9,2,2,2.4,2,2.2,2.6,0.8,1.7,3.2,1.7,1.3,1.6,2.4,3,4.1,0.8,1.5,NA,NA,NA
"22","15-74 år","2000M10",2.6,3.1,4,4.9,NA,4.3,1.4,1.4,2.4,2,2,2.1,2.5,1.7,2.4,3,1,1.5,3,1.4,1.7,3.2,2.4,3.2,4.3,0,1.3,NA,NA,NA
"23","15-74 år","2000M11",2.6,3.2,3.8,5,NA,4.4,1.6,1.5,2.3,3.7,4.8,2.7,2.4,1.8,1.9,3,1.1,1.8,3.5,2,1.5,3.5,1.7,2.9,4.5,0,1.7,NA,NA,NA
"24","15-74 år","2000M12",3,3.3,3.9,5.1,NA,4.5,1.8,1.4,2.1,3.2,4,2.6,2.5,2,2.4,3.7,1.4,1.6,4.2,1.6,2.1,4.3,2.2,3,4.4,0,1.9,NA,NA,NA
